Harry Potter and the Deathly Hallows (Harry Potter, #7)	J.K. Rowling	https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows
The Chronicles of Narnia (Chronicles of Narnia, #1-7)	C.S. Lewis	https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia
Harry Potter and the Half-Blood Prince (Harry Potter, #6)	J.K. Rowling	https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince
Harry Potter and the Order of the Phoenix (Harry Potter, #5)	J.K. Rowling	https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix
The Golden Compass (His Dark Materials, #1)	Philip Pullman	https://www.goodreads.com/book/show/119322.The_Golden_Compass
Dirk Gently&#39;s Holistic Detective Agency (Dirk Gently, #1)	Douglas Adams	https://www.goodreads.com/book/show/365.Dirk_Gently_s_Holistic_Detective_Agency
The Angel Experiment (Maximum Ride, #1)	James Patterson	https://www.goodreads.com/book/show/13152.The_Angel_Experiment
Harry Potter and the Goblet of Fire (Harry Potter, #4)	J.K. Rowling	https://www.goodreads.com/book/show/6.Harry_Potter_and_the_Goblet_of_Fire
Watchmen (Watchmen #1-12)	Alan Moore	https://www.goodreads.com/book/show/472331.Watchmen
The Eye of the World (The Wheel of Time, #1)	Robert Jordan	https://www.goodreads.com/book/show/228665.The_Eye_of_the_World
Perdido Street Station (New Crobuzon, #1)	China Miéville	https://www.goodreads.com/book/show/68494.Perdido_Street_Station
Harry Potter and the Chamber of Secrets (Harry Potter, #2)	J.K. Rowling	https://www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets
Grass (Arbai, #1)	Sheri S. Tepper	https://www.goodreads.com/book/show/104342.Grass
The Final Empire (Mistborn, #1)	Brandon Sanderson	https://www.goodreads.com/book/show/68428.The_Final_Empire
Heir to the Empire (Star Wars: The Thrawn Trilogy, #1)	Timothy Zahn	https://www.goodreads.com/book/show/216443.Heir_to_the_Empire
Galápagos	Kurt Vonnegut	https://www.goodreads.com/book/show/9593.Gal_pagos
Flow My Tears, the Policeman Said	Philip K. Dick	https://www.goodreads.com/book/show/22584.Flow_My_Tears_the_Policeman_Said
Consider Phlebas	Iain M. Banks	https://www.goodreads.com/book/show/8935689-consider-phlebas
The Wise Man&#39;s Fear (The Kingkiller Chronicle, #2)	Patrick Rothfuss	https://www.goodreads.com/book/show/1215032.The_Wise_Man_s_Fear
A Connecticut Yankee in King Arthur&#39;s Court	Mark Twain	https://www.goodreads.com/book/show/162898.A_Connecticut_Yankee_in_King_Arthur_s_Court
The Demolished Man	Alfred Bester	https://www.goodreads.com/book/show/76740.The_Demolished_Man
A Wizard of Earthsea	Ursula K. Le Guin	https://www.goodreads.com/book/show/13642.A_Wizard_of_Earthsea
V for Vendetta	Alan Moore	https://www.goodreads.com/book/show/5805.V_for_Vendetta
Atlas Shrugged	Ayn Rand	https://www.goodreads.com/book/show/662.Atlas_Shrugged
A Clash of Kings  (A Song of Ice and Fire, #2)	George R.R. Martin	https://www.goodreads.com/book/show/10572.A_Clash_of_Kings
Foundation&#39;s Edge (Foundation #4)	Isaac Asimov	https://www.goodreads.com/book/show/76683.Foundation_s_Edge
Time Enough for Love	Robert A. Heinlein	https://www.goodreads.com/book/show/353.Time_Enough_for_Love
The Dragonriders of Pern (Dragonriders of Pern, #1-3)	Anne McCaffrey	https://www.goodreads.com/book/show/61942.The_Dragonriders_of_Pern
Use of Weapons	Iain M. Banks	https://www.goodreads.com/book/show/12007.Use_of_Weapons
A Deepness in the Sky (Zones of Thought, #2)	Vernor Vinge	https://www.goodreads.com/book/show/226004.A_Deepness_in_the_Sky
The Gods Themselves	Isaac Asimov	https://www.goodreads.com/book/show/41821.The_Gods_Themselves
The Warrior&#39;s Apprentice (Vorkosigan Saga, #2)	Lois McMaster Bujold	https://www.goodreads.com/book/show/61906.The_Warrior_s_Apprentice
Nightfall	Isaac Asimov	https://www.goodreads.com/book/show/99245.Nightfall
Revelation Space (Revelation Space, #1)	Alastair Reynolds	https://www.goodreads.com/book/show/89187.Revelation_Space
Pandora&#39;s Star	Peter F. Hamilton	https://www.goodreads.com/book/show/45252.Pandora_s_Star
The Road	Cormac McCarthy	https://www.goodreads.com/book/show/6288.The_Road
Brave New World / Brave New World Revisited	Aldous Huxley	https://www.goodreads.com/book/show/5479.Brave_New_World_Brave_New_World_Revisited
Breakfast of Champions	Kurt Vonnegut	https://www.goodreads.com/book/show/4980.Breakfast_of_Champions
